10,4,30
66,49,17
27,18,88
43,9,40
11,77,83
16,78,12
75,54,0
8,33,92
97,91,24
16,36,12
51,8,88
28,65,5
8,70,13
87,10,58
84,50,50
7,96,25
85,0,36
61,93,0
39,97,98
73,15,68
81,50,51
12,63,15
76,41,83
3,9,8
19,58,62
56,80,38
90,68,20
26,29,50
100,30,69
26,83,4
61,5,96
53,8,71
88,9,48
52,98,54
31,67,15
4,38,49
78,0,24
3,80,29
17,24,77
73,48,73
17,52,95
72,50,57
98,52,1
52,57,47
43,94,30
48,5,94
50,90,98
14,60,51
40,33,16
35,38,84
35,31,58
8,2,25
96,13,76
33,77,28
41,11,89
5,96,22
54,95,37
81,68,38
54,7,75
41,26,82
25,27,88
56,22,63
38,79,2
85,81,43
33,42,50
3,79,51
86,39,99
27,69,3
85,42,89
97,96,72
35,94,31
49,84,80
0,67,43
90,30,22
32,80,34
88,46,51
62,16,33
17,31,73
98,51,31
88,0,26
39,86,37
62,56,26
49,82,48
86,18,67
51,44,8
99,64,58
12,86,4
28,4,87
15,45,64
10,52,97
69,85,13
92,48,44
69,24,18
3,64,37
99,50,92
92,81,7
49,97,25
81,43,96
73,48,60
34,1,64
36,64,61
95,26,14
82,90,58
63,27,100
46,30,37
51,87,38
17,64,69
69,13,25
39,93,37
60,33,36
48,19,26
52,46,37
29,84,55
53,39,77
70,45,11
61,37,91
63,59,92
32,32,11
27,34,9
23,3,61
62,18,70
75,19,57
80,79,32
72,62,88
15,92,96
48,1,55
30,75,56
97,21,80
31,59,84
46,31,99
73,7,75
16,49,30
72,89,41
81,84,98
16,35,39
5,67,16
65,65,7
56,62,46
52,32,48
5,40,96
0,49,26
12,50,2
16,46,70
15,11,95
82,79,12
24,66,45
32,8,60
6,42,66
83,75,1
25,8,49
10,67,22
60,54,66
37,16,79
51,78,37
97,90,22
23,100,90
92,38,37
38,71,31
70,53,62
51,70,25
22,74,59
47,16,59
80,70,62
46,9,4
48,51,7
28,17,84
64,53,40
96,96,80
50,23,52
29,4,25
57,87,35
89,70,40
96,55,30
21,14,60
15,9,71
90,44,30
84,36,59
44,44,50
36,56,84
90,59,43
48,38,37
65,32,16
53,51,82
69,72,66
26,76,9
34,71,77
75,18,40
86,80,48
55,6,60
64,41,4
39,38,15
27,5,81
80,33,81
13,48,80
77,40,51
31,94,34
6,83,38
16,78,49
17,69,31
65,83,82
69,23,2
16,54,39
92,55,5
46,38,66
75,7,73
8,16,84
21,39,90
90,19,56
27,69,29
19,14,75
75,31,87
65,34,93
31,30,23
95,67,100
78,22,55
38,86,77
16,49,93
82,88,8
70,67,61
39,66,11
34,98,75
89,28,36
52,69,52
64,25,24
76,20,100
93,71,90
47,7,91
97,42,3
4,33,50
50,76,17
66,9,83
36,92,79
7,97,100
61,75,89
52,58,45
97,47,30
77,1,22
67,94,86
65,87,67
18,26,94
19,52,93
75,93,11
25,86,68
85,88,58
14,39,56
34,80,21
71,78,65
13,0,26
71,91,49
77,13,99
26,56,49
39,40,66
93,75,1
7,74,29
64,62,41
22,84,12
63,26,63
41,7,59
59,86,66
74,20,8
19,89,27
42,23,78
99,19,19
86,17,95
16,33,34
79,35,98
78,56,48
58,89,34
67,15,68
59,4,64
66,14,30
19,57,76
98,26,87
96,37,85
47,56,28
32,62,5
36,21,57
19,4,57
32,10,64
94,19,72
40,90,50
46,97,97
96,62,34
26,87,47
55,78,2
29,69,79
64,56,73
49,35,14
6,55,13
67,44,85
95,76,19
25,74,13
31,74,60
63,39,59
14,37,100
54,41,47
94,16,32
58,75,68
63,98,18
21,31,50
69,50,61
70,34,76
3,77,12
1,50,63
31,27,19
18,17,15
66,13,27
82,45,95
94,12,21
72,67,29
81,97,41
65,43,60
73,24,98
1,60,59
59,72,7
79,45,83
57,99,51
83,7,55
61,21,80
79,47,57
34,92,53
60,27,5
78,67,10
71,28,38
30,46,98
15,29,22
70,25,10
75,51,27
53,46,32
82,16,69
89,71,1
